aalib 1.4rc5-18
abseil-cpp 20240722.0-1
acl 2.3.2-1
ada 2.9.0-2
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
alacritty 0.13.2-3
alsa-lib 1.2.12-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.12-1
amd-ucode 20240909.552ed9b8-1
aom 3.10.0-1
appstream 1.0.3-1
arch-install-scripts 28-2
archlinux-keyring 20240709-2
argon2 20190702-6
at-spi2-core 2.54.0-2
atkmm 2.28.4-1
attr 2.5.2-1
audacious 4.4-1
audacious-plugins 4.4-1
audit 4.0.2-2
augeas 1.14.1-2
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-2
ayatana-ido 0.10.4-1
babl 0.1.108-1
base 3-2
base-devel 1-2
bash 5.2.032-2
bash-completion 2.14.0-2
bat 0.24.0-2
bcg729 1.1.1-2
bind 9.20.2-1
binutils 2.43+r4+g7999dae6961-1
bison 3.8.2-8
blas 3.12.0-5
bluez-libs 5.78-1
boost-libs 1.86.0-2
borg 1.4.0-1
botan 3.5.0-1
botan2 2.19.5-1
brave-bin 1:1.70.117-1
breeze-icons 6.6.0-1
bridge-utils 1.7.1-2
brltty 6.6-11
brotli 1.1.0-2
bruno-bin 1.28.0-1
btrfs-progs 6.10.1-2
bubblewrap 0.10.0-1
bzip2 1.0.8-6
c-ares 1.33.1-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.104-1
ca-certificates-utils 20240618-1
cairo 1.18.2-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
calc 2.15.1.0-1
cantarell-fonts 1:0.303.1-2
capstone 5.0.3-1
cblas 3.12.0-5
cdparanoia 10.2-9
chromium 129.0.6668.58-1
chrony 4.5-3
cifs-utils 7.0-5
clamav 1.3.1-1
clang 18.1.8-2
clucene 2.3.3.4-15
cmake 3.30.3-2
cmus 2.11.0-1
colord 1.4.7-2
compiler-rt 18.1.8-1
confuse 3.3-4
copyq 9.0.0-1
coreutils 9.5-2
cpio 2.15-2
cppdap 1.58.0-2
cronie 1.7.2-1
cryptsetup 2.7.5-1
curl 8.10.1-1
dav1d 1.4.3-1
db5.3 5.3.28-5
dbus 1.14.10-2
dbus-broker 36-4
dbus-broker-units 36-4
dbus-glib 0.112-4
dconf 0.40.0-3
debootstrap 1.0.137-1
debugedit 5.0-6
default-cursors 3-1
desktop-file-utils 0.27-1
device-mapper 2.03.26-1
dhcpcd 10.0.10-1
diffutils 3.10-1
ding-libs 0.6.2-2
discord 0.0.68-1
distro-info 1.7-4
distro-info-data 0.62-2
dmidecode 3.6-1
dnsmasq 2.90-1
dnssec-anchors 20190629-4
dosfstools 4.2-5
double-conversion 3.3.0-2
dtc 1.7.1-1
duktape 2.7.0-7
dunst 1.11.0-1
e2fsprogs 1.47.1-4
edk2-aarch64 202311-1
edk2-arm 202311-1
edk2-ovmf 202311-1
efibootmgr 18-3
efitools 1.9.2-5
efivar 39-1
electron30 30.5.1-3
elementary-icon-theme 8.0.0-1
enchant 2.8.2-1
exfatprogs 1.2.5-1
exo 4.18.0-3
expat 2.6.3-2
f2fs-tools 1.16.0-3
faad2 2.11.1-1
fakeroot 1.36-1
ffmpeg 2:7.0.2-3
fftw 3.3.10-7
file 5.45-1
file-roller 44.3-1
filesystem 2024.04.07-1
filezilla 3.67.1-2
findutils 4.10.0-2
flac 1.4.3-2
flameshot 12.1.0-5
flex 2.6.4-5
fluidsynth 2.3.6-1
fontconfig 2:2.15.0-2
freeglut 3.6.0-1
freerdp 2:3.8.0-1
freetype2 2.13.3-1
fribidi 1.0.15-1
fstrm 0.6.1-2
fuse-common 3.16.2-1
fuse2 2.9.9-5
fuse3 3.16.2-1
fzf 0.55.0-1
garcon 4.18.2-2
gawk 5.3.1-1
gc 8.2.8-2
gcc 14.2.1+r134+gab884fffe3fc-1
gcc-libs 14.2.1+r134+gab884fffe3fc-1
gcr-4 4.3.0-1
gdb 15.1-1
gdb-common 15.1-1
gdbm 1.24-1
gdk-pixbuf2 2.42.12-1
gedit 48.0-1
gegl 0.4.48-4
geoclue 2.7.2-1
gettext 0.22.5-2
giflib 5.2.2-1
git 2.46.1-1
glew 2.2.0-7
glib-networking 1:2.80.0-3
glib2 2.82.1-1
glibc 2.40+r16+gaa533d58ff-2
glibmm 2.66.7-1
glibmm-2.68 2.82.0-1
glslang 14.3.0-1
glu 9.0.3-2
glusterfs 1:11.1-2
gmp 6.3.0-2
gnome-themes-extra 3.28+r6+g45b1d457-2
gnupg 2.4.5-5
gnutls 3.8.7-1
gobject-introspection-runtime 1.82.0-1
gparted 1.6.0-2
gperftools 2.15-1
gpgme 1.23.2-6
gpm 1.20.7.r38.ge82d1a6-6
gptfdisk 1.0.10-1
graphene 1.10.8-1
graphite 1:1.3.14-4
grep 3.11-1
groff 1.23.0-7
grub 2:2.12-3
grub-customizer 5.2.5-1
gsettings-desktop-schemas 47.1-1
gsettings-system-schemas 47.1-1
gsm 1.0.22-2
gspell 1.14.0-1
gssdp 1.6.3-1
gssproxy 0.9.2-1
gst-plugin-pipewire 1:1.2.4-1
gst-plugins-bad-libs 1.24.8-1
gst-plugins-base 1.24.8-1
gst-plugins-base-libs 1.24.8-1
gst-plugins-good 1.24.8-1
gstreamer 1.24.8-1
gtest 1.15.2-1
gtk-update-icon-cache 1:4.16.1-1
gtk-vnc 1.3.1-1
gtk3 1:3.24.43-3
gtk4 1:4.16.1-1
gtkmm-4.0 4.16.0-1
gtkmm3 3.24.9-1
gtksourceview4 4.8.4-1
guestfs-tools 1.52.1-1
gufw 24.04-2
guile 3.0.10-1
gupnp 1:1.6.6-1
gupnp-igd 1.6.0-1
gvfs 1.56.0-1
gvfs-mtp 1.56.0-1
gvfs-smb 1.56.0-1
gzip 1.13-4
harfbuzz 9.0.0-1
harfbuzz-icu 9.0.0-1
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
hivex 1.3.23-9
htop 3.3.0-3
http-parser 2.9.4-2
hunspell 1.7.2-2
hwdata 0.387-1
hwloc 2.11.1-1
hyphen 2.8.8-6
i2c-tools 4.3-6
iana-etc 20240814-1
icu 75.1-1
imath 3.1.12-1
imlib2 1.12.3-2
inetutils 2.5-1
iniparser 4.2.4-1
iproute2 6.11.0-1
iptables-nft 1:1.8.10-2
iputils 20240905-1
iso-codes 4.17.0-1
jack2 1.9.22-1
jansson 2.14-4
jasper 4.2.4-1
java-runtime-common 3-5
jbigkit 2.1-8
jemalloc 1:5.3.0-4
jfsutils 1.1.15-9
jre17-openjdk 17.0.12.u7-1
json-c 0.18-1
json-glib 1.10.0-1
jsoncpp 1.9.6-3
karchive 6.6.0-1
kauth 6.6.0-1
kauth5 5.116.0-1
kbd 2.6.4-3
kbookmarks 6.6.0-1
kcmutils 6.6.0-1
kcodecs 6.6.0-1
kcodecs5 5.116.0-1
kcolorchooser 24.08.1-1
kcolorscheme 6.6.0-1
kcompletion 6.6.0-1
kconfig 6.6.0-1
kconfig5 5.116.0-1
kconfigwidgets 6.6.0-1
kconfigwidgets5 5.116.0-1
kcontacts 1:6.6.0-1
kcoreaddons 6.6.0-1
kcoreaddons5 5.116.0-1
kcrash 6.6.0-1
kdbusaddons 6.6.0-1
kdbusaddons5 5.116.0-1
kdeclarative 6.6.0-1
kdeconnect 24.08.1-1
keepassxc 2.7.9-3
keyutils 1.6.3-3
kglobalaccel 6.6.0-1
kguiaddons 6.6.0-1
kguiaddons5 5.116.0-1
ki18n 6.6.0-1
ki18n5 5.116.0-1
kiconthemes 6.6.0-1
kidletime 6.6.0-1
kio 6.6.0-1
kirigami 6.6.0-1
kirigami-addons 1.4.0-1
kitemmodels 6.6.0-1
kitemviews 6.6.0-1
kitty 0.36.2-1
kitty-shell-integration 0.36.2-1
kitty-terminfo 0.36.2-1
kjobwidgets 6.6.0-1
kmod 33-3
knotifications 6.6.0-1
knotifications5 5.116.0-1
kpeople 6.6.0-1
krb5 1.21.3-1
kservice 6.6.0-1
kservice5 5.116.0-1
kstatusnotifieritem 6.6.0-1
ksvg 6.6.0-1
kwallet 6.6.0-1
kwallet-pam 6.1.5-1
kwallet5 5.116.0-1
kwalletmanager 24.08.0-2
kwidgetsaddons 6.6.0-1
kwidgetsaddons5 5.116.0-1
kwindowsystem 6.6.0-1
kwindowsystem5 5.116.0-1
kxmlgui 6.6.0-1
l-smash 2.14.5-4
lame 3.100-5
lapack 3.12.0-5
lcms2 2.16-1
ldb 2:4.21.0-2
lensfun 1:0.3.4-4
less 1:661-1
lftp 4.9.2-2
libabw 0.1.3-4
libadwaita 1:1.6.0-1
libaio 0.3.113-3
